channel,duration,num_exp,count_dot
ch2,"0,8",2,1000.0
ch2,"1,4",2,1000.0
ch2,"1,4",2,1000.0
ch2,"1,4",2,1000.0
ch2,"1,4",2,1000.0
ch2,"1,4",2,1000.0
ch2,"2,4",2,1000.0
ch2,"2,4",2,1000.0
ch2,"2,4",2,1000.0
ch2,"2,4",2,1000.0
ch2,"2,4",2,1000.0
ch2,4,2,1000.0
ch2,4,2,1000.0
ch2,4,2,1000.0
ch2,4,2,1000.0
ch2,4,2,1000.0
ch2,"0,2",3,1000.0
ch2,"0,2",3,1000.0
ch2,"0,2",3,1000.0
ch2,"0,2",3,1000.0
ch2,"0,2",3,1000.0
ch2,"0,3",3,1000.0
ch2,"0,3",3,1000.0
ch2,"0,3",3,1000.0
ch2,"0,3",3,1000.0
ch2,"0,3",3,1000.0
ch2,"0,5",3,1000.0
ch2,"0,5",3,1000.0
ch2,"0,5",3,1000.0
ch2,"0,5",3,1000.0
ch2,"0,5",3,1000.0
ch2,"0,8",3,1000.0
ch2,"0,8",3,1000.0
ch2,"0,8",3,1000.0
ch2,"0,8",3,1000.0
ch2,"0,8",3,1000.0
ch2,"1,4",3,1000.0
ch2,"1,4",3,1000.0
ch2,"1,4",3,1000.0
ch2,"1,4",3,1000.0
ch2,"1,4",3,1000.0
ch2,"2,4",3,1000.0
ch2,"2,4",3,1000.0
ch2,"2,4",3,1000.0
ch2,"2,4",3,1000.0
ch2,"2,4",3,1000.0
ch2,4,3,1000.0
ch2,4,3,1000.0
ch2,4,3,1000.0
ch2,4,3,1000.0
ch2,4,3,1000.0
