,channel1,channel2,series1,series2,duration1,duration2,"cc_4,0","cc_4,1","cc_4,2","cc_4,3","cc_3,0","cc_3,1","cc_3,2","cc_2,0","cc_2,1","cc_1,0",min_cc,mean_cc
0,ch1,ch1,1,1,"0,1","0,1",0.9760556706545276,0.8513783108704805,0.8948740404496951,0.7520725942458472,0.8688965070641528,0.9788446581261847,0.753725657599841,0.8983335230840659,0.8191864193577455,0.9432181829820719,0.7520725942458472,0.8736585564434611
1,ch2,ch2,1,1,"0,1","0,1",0.9998631476104742,0.9999226872903441,0.9999504010598493,0.9999681384297066,0.9999022925451706,0.9999468889613957,0.9999603295554442,0.9999350332481268,0.9999597287651416,0.9999564604891691,0.9998631476104742,0.9999365107954823
2,ch1,ch1,2,2,"0,1","0,1",0.9439160848050867,0.7988146426079819,0.7967311417390543,0.9846366893059075,0.9772798011762753,0.7691745941298594,0.8326908592459654,0.901817630748983,0.810528558320579,0.747000679296635,0.747000679296635,0.8562590681376328
3,ch2,ch2,2,2,"0,1","0,1",0.16155362110273275,0.163810569735497,0.16105806708786763,0.17394111205926777,0.9712945919640865,0.9785904848278353,0.9705632231009753,0.9773082985754966,0.9690664221451963,0.9705800841917409,0.16105806708786763,0.6497766474790697
4,ch1,ch1,3,3,"0,1","0,1",0.857824262612549,0.8074685300028762,0.773290222313581,0.7545318850196391,0.7170249469138645,0.9691378530992234,0.9314592604833831,0.6464171974853761,0.9378853261628719,0.8000051112128141,0.6464171974853761,0.8195044595306177
5,ch2,ch2,3,3,"0,1","0,1",0.9521010725085861,0.9697972568080817,0.9987113777508781,0.999020856885169,0.9523423598064661,0.9701870713289187,0.9990402727645031,0.9525987728932159,0.9704173760304632,0.9958702338928364,0.9521010725085861,0.9760086650669118
6,ch1,ch1,1,1,"0,3","0,3",0.826141893858024,0.7995910773381658,0.7894447271939122,0.9920856075330432,0.7940528625616178,0.805490861780568,0.7945039661759992,0.7477716934893581,0.9922577529561624,0.7206423436260013,0.7206423436260013,0.8261982786512853
7,ch2,ch2,1,1,"0,3","0,3",0.9722890135604918,0.975281527761875,0.9760280539636496,0.9718939755426942,0.9734994134154554,0.9723317636559802,0.975836363743262,0.9750696855484003,0.9744578749277312,0.9739318311049724,0.9718939755426942,0.9740619503224511
8,ch1,ch1,2,2,"0,3","0,3",0.7855192784516849,0.7442925782989095,0.9766415011467161,0.8439375725711609,0.9842809670845725,0.840356170760476,0.909579955939151,0.8549818745122275,0.7489269522365062,0.8771911395447919,0.7442925782989095,0.8565707990546196
9,ch2,ch2,2,2,"0,3","0,3",0.983925044745931,0.9678415569968039,0.9854217753682664,0.9841151213683859,0.9813518463365173,0.9692697000717971,0.983397465494345,0.9824723408477172,0.973184406331123,0.9717864761297367,0.9678415569968039,0.9782765733690624
10,ch1,ch1,3,3,"0,3","0,3",0.9094709656672614,0.8261833032287056,0.9540295332197365,0.8815414764855696,0.9067185774584775,0.821535382198482,0.8874544889067779,0.861552974495981,0.8952346683248784,0.8188697181579896,0.8188697181579896,0.8762591088143861
11,ch2,ch2,3,3,"0,3","0,3",0.9713332381733527,0.9719825186159633,0.9713814845659657,0.9758526253388702,0.9696557218648278,0.9738423440858612,0.9744318233734528,0.9722573011335168,0.9741667233460307,0.9745694281305491,0.9696557218648278,0.9729473208628392
12,ch1,ch1,1,1,"0,8","0,8",0.8203877155662167,0.7260039092607136,0.9993079056914,0.9987180792503512,0.8098131568441431,0.7218932730721037,0.9998214862780856,0.8131533502298702,0.7226513996850461,0.7578079595474465,0.7218932730721037,0.8369558235425376
13,ch2,ch2,1,1,"0,8","0,8",0.9991410222761697,0.9992905743962726,0.9993170541556153,0.9994576059501189,0.9992889987899741,0.9994311876385128,0.9994715446095114,0.9993393121217659,0.9995197912410508,0.9994201649249316,0.9991410222761697,0.9993677256103923
14,ch1,ch1,2,2,"0,8","0,8",0.9033804376512057,0.8853698104344253,0.8737933353251597,0.8402388240593858,0.6730138718814715,0.6614455614594824,0.7978844545124254,0.835679650503883,0.8253248447040297,0.9987024874609347,0.6614455614594824,0.8294833277992403
