,channel1,channel2,series1,series2,duration1,duration2,"cc_4,0","cc_4,1","cc_4,2","cc_4,3","cc_3,0","cc_3,1","cc_3,2","cc_2,0","cc_2,1","cc_1,0",min_cc,mean_cc
16,ch1,ch1,3,3,"0,8","0,8",0.8035231740664739,0.6559034658784286,0.9880651595777684,0.9657797169502904,0.7697381703064221,0.6958674919461935,0.9254921588657564,0.8349449981587846,0.6503994355764171,0.9119147227412785,0.6503994355764171,0.8201628494067814
17,ch2,ch2,3,3,"0,8","0,8",0.9995008911689088,0.9996325940861407,0.9996989251964359,0.9997734015884598,0.9996194360952848,0.9997195256343527,0.9997950040518058,0.9996956829306611,0.9997456116889242,0.9997452271338039,0.9995008911689088,0.9996926299574778
18,ch1,ch1,1,1,100,100,-38446.18518610333,-32552.78778217794,-63910.156643488524,-112162.16946661925,0.5250718037096764,0.30210068034329873,0.6401247237747556,0.6973512002266191,0.3963388282924447,0.19987972688129563,-112162.16946661925,-24706.853821142584
19,ch2,ch2,1,1,100,100,0.46967892983891313,-0.3324311652763845,-0.3326264161583583,0.43448689495841,0.9324087269296226,-0.3192220504498753,-0.3193954685868532,-70874.30253134557,0.98089285986461,-67308.10521876017,-70874.30253134557,-13818.089395779465
20,ch1,ch1,2,2,100,100,0.9773031742325061,0.8601142502970252,0.7681073240776721,0.7630619520518664,0.6863661458790024,0.7870173909228554,0.8058435429193154,0.6591091091074124,0.6646756592558608,0.9041837673110238,0.6591091091074124,0.787578231605454
21,ch2,ch2,2,2,100,100,0.981298124276215,0.9814702099563648,0.980004350327518,0.9816904700245479,0.9846911391047252,0.9840776871491087,0.9850740769757788,0.9823349816136424,0.9823837023024051,0.9833762244315366,0.980004350327518,0.9826400966161841
22,ch1,ch1,3,3,100,100,0.8505008362498616,0.9902967447648194,0.8767563937120345,0.8537161656533541,0.9958281674363366,0.7972871569187752,0.6503510519517667,0.7262601158861894,0.9227976406873176,0.8147365434660981,0.6503510519517667,0.8478530816726553
23,ch2,ch2,3,3,100,100,0.9804303283491985,0.9804217610141157,0.9824398593756176,0.9814010109133563,0.9786412430234707,0.9788448381112634,0.9780822987266427,0.9789165353544885,0.9780317897175829,0.9774890763885695,0.9774890763885695,0.9794698740974305
24,ch1,ch1,1,1,1000,1000,0.970094752027052,0.8997611291152873,0.9301340943337839,0.9404439278170074,0.9218831801088155,0.900652583927225,0.917090385126715,0.9748263392309524,0.9538029953480629,0.9282161381221448,0.8997611291152873,0.9336905525157047
25,ch2,ch2,1,1,1000,1000,0.9999676747212147,0.9999641306714746,0.9996212751617499,0.9996282155185899,0.9996045834048461,0.999598018089753,0.999993112311278,0.9996113702854288,0.9996028360955038,0.9999931871116776,0.999598018089753,0.9997584403371516
